Best Position,Nationality,Age,Height(in cm),Weight(in kg),Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Freekick Accuracy,LongPassing,BallControl,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,Goalkeeper Diving,Goalkeeper Handling,GoalkeeperKicking,Goalkeeper Positioning,Goalkeeper Reflexes,Assignments,DistancesToClusterCenter no.0,DistancesToClusterCenter no.1,DistancesToClusterCenter no.2,DistancesToClusterCenter no.3,DistancesToClusterCenter no.4,DistancesToClusterCenter no.5,DistancesToClusterCenter no.6,DistancesToClusterCenter no.7,DistancesToClusterCenter no.8,DistancesToClusterCenter no.9,DistancesToClusterCenter no.10,DistancesToClusterCenter no.11,DistancesToClusterCenter no.12,DistancesToClusterCenter no.13
ST,Spain,20,186,75,Right,4,3,1,High,Low,69,67,58,69,36,60,52,69,69,67,57,71,46,46,57,70,73,66,59,60,69,70,78,48,62,67,63,29,61,57,54,67,32,33,35,12,13,5,13,14,0,0.04054511360014589,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,Bolivia,25,168,77,Left,2,2,1,Medium,High,71,39,54,58,60,73,53,34,52,58,37,60,60,33,53,50,70,71,70,60,70,42,80,80,70,40,69,62,56,54,44,56,61,62,58,15,10,7,14,14,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
ST,Jordan,26,188,87,Right,3,2,1,High,Medium,60,54,37,48,19,61,28,56,59,40,39,49,35,31,26,45,64,57,54,45,47,54,68,51,78,55,28,16,45,49,57,40,11,18,12,6,12,14,6,11,0,0.04054511360014589,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
GK,France,27,188,86,Right,4,1,1,Medium,Medium,76,76,77,79,45,75,14,17,20,38,17,30,13,14,56,31,49,40,37,73,54,58,58,42,58,11,21,17,20,60,21,27,13,12,13,76,76,77,75,79,3,1.3943831814446,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
LW,Portugal,23,188,81,Right,4,4,1,Medium,Low,91,77,73,86,27,74,75,80,63,76,74,89,80,60,63,86,90,92,82,83,80,80,62,77,80,72,60,24,82,74,63,81,22,24,21,10,12,15,11,9,13,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0
RM,Brazil,26,181,80,Right,3,3,1,High,Medium,79,59,70,72,32,63,74,61,44,72,62,75,63,64,66,71,79,79,71,66,60,61,70,62,75,55,31,45,66,71,45,72,26,26,27,12,12,11,12,10,6,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
GK,Italy,21,190,82,Right,3,1,1,Medium,Medium,67,62,67,65,39,61,14,10,12,30,11,17,19,20,31,18,39,40,51,63,45,50,49,28,69,12,29,13,11,37,21,49,8,20,19,67,62,67,61,65,3,1.3943831814446,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
LB,Spain,27,166,61,Left,3,2,1,High,Medium,77,49,57,68,59,57,68,39,49,58,22,66,60,51,57,65,74,80,81,63,92,71,86,88,32,60,71,63,52,47,39,56,55,63,64,5,8,6,9,5,7,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CAM,Mali,19,170,53,Right,3,2,1,Medium,Medium,68,57,61,65,57,56,54,52,55,67,53,66,59,48,64,66,69,68,60,59,74,64,59,62,52,59,59,55,60,61,58,56,54,60,59,9,10,14,10,9,1,1.3943831814446,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CAM,South Africa,29,181,72,Right,4,4,1,High,Medium,74,66,69,69,47,66,61,70,58,76,46,74,64,66,67,71,76,72,58,58,58,68,62,71,65,60,62,28,70,67,55,51,43,60,48,11,13,13,9,13,1,1.3943831814446,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
ST,Romania,16,186,72,Left,3,2,1,High,Low,76,53,45,58,21,50,45,55,47,56,35,56,61,27,38,56,75,77,74,52,62,60,55,54,53,47,35,20,45,32,55,52,21,16,12,8,13,11,7,14,0,0.04054511360014589,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
GK,England,18,183,70,Right,2,1,1,Medium,Medium,56,57,56,59,24,42,13,8,12,25,5,9,13,14,19,10,20,29,32,39,45,42,64,17,54,8,22,14,4,25,18,37,6,11,10,56,57,56,42,59,3,1.3943831814446,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CAM,Korea Republic,20,179,69,Right,4,3,1,Medium,Medium,74,57,52,66,34,57,44,57,36,56,60,69,46,44,54,61,72,76,72,63,75,63,59,61,58,53,48,24,62,56,44,53,38,35,40,6,9,12,15,11,1,1.3943831814446,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,India,26,175,67,Right,3,2,1,High,Medium,74,30,41,48,54,70,42,30,46,42,29,46,46,31,39,43,65,81,66,46,64,35,86,77,71,23,53,54,35,40,25,46,54,56,55,12,11,7,9,15,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CM,Netherlands,28,175,68,Right,3,3,1,Medium,Medium,68,69,72,70,63,65,73,66,60,71,63,69,70,75,72,71,69,68,72,69,74,74,79,74,62,70,60,61,67,73,78,71,64,66,53,10,12,13,11,10,5,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CAM,Northern Ireland,22,180,69,Left,3,2,1,High,Medium,63,52,55,53,45,61,43,48,43,60,40,52,50,48,60,51,62,64,63,52,67,66,52,70,59,54,57,40,60,55,35,40,42,52,43,15,9,13,13,15,1,1.3943831814446,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,Norway,23,189,89,Right,2,2,1,Medium,Medium,55,27,46,51,62,74,45,25,60,58,28,46,28,23,47,54,52,58,53,60,61,39,74,66,81,18,64,61,31,37,33,56,61,64,62,9,13,7,10,15,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CAM,Georgia,21,183,70,Right,5,4,1,Medium,Medium,82,68,71,81,41,66,69,68,62,74,55,83,78,59,70,82,83,81,84,69,71,70,59,67,68,69,61,37,71,72,63,76,41,39,34,9,15,8,14,8,1,1.3943831814446,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,Germany,25,189,84,Left,3,2,1,Medium,Medium,60,27,51,54,74,74,25,23,72,65,21,49,29,32,59,57,53,65,54,70,55,33,62,64,83,26,66,71,27,58,39,68,73,78,70,13,14,11,10,8,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,Brazil,22,183,77,Right,3,2,1,Medium,Medium,74,41,60,53,77,66,59,35,74,67,40,40,58,49,65,63,77,72,68,70,41,54,72,54,76,44,53,72,33,46,45,70,79,78,79,19,10,11,11,10,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
ST,Senegal,34,185,79,Right,3,3,2,High,Medium,66,71,61,67,55,78,63,73,79,67,70,66,59,36,44,70,63,68,60,70,60,75,91,70,80,61,78,57,77,66,75,66,44,58,55,11,5,12,7,12,0,0.04054511360014589,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CAM,France,21,179,66,Right,3,3,1,Medium,Medium,70,54,55,67,29,46,50,53,45,59,49,68,51,56,52,64,72,68,86,54,75,58,37,32,57,54,40,23,59,54,54,51,21,31,43,5,11,13,12,15,1,1.3943831814446,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,Cameroon,23,185,75,Left,3,2,1,Medium,Medium,70,35,56,64,71,71,66,28,68,62,27,65,51,31,53,70,69,71,52,63,61,45,75,69,74,38,65,71,51,45,41,52,69,74,72,13,7,9,12,10,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,Argentina,37,175,71,Right,3,2,1,Medium,Medium,64,56,57,61,75,76,48,56,72,64,47,54,32,54,63,65,65,63,66,73,72,63,92,76,81,51,57,74,50,58,66,72,77,74,72,11,16,8,9,10,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,Uruguay,36,187,78,Right,3,2,3,Medium,High,54,48,62,61,76,77,52,42,80,74,47,53,49,49,70,72,54,54,57,70,53,67,88,67,80,43,80,76,48,52,50,77,74,78,75,6,8,15,5,15,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CM,United States,34,178,80,Right,3,3,1,Medium,High,57,61,61,65,61,70,55,56,59,63,58,63,69,47,63,67,51,62,68,62,69,74,77,63,71,64,75,67,59,62,54,60,68,53,50,11,10,14,10,6,5,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,Serbia,21,194,84,Left,3,2,1,Medium,Medium,65,43,50,62,70,77,53,43,72,60,25,63,39,38,58,68,59,69,43,67,42,56,59,63,86,36,77,70,34,31,43,68,67,74,66,12,14,8,10,13,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CDM,Romania,23,180,75,Right,3,2,1,Medium,Medium,73,57,67,66,64,70,61,53,57,73,48,64,60,60,66,67,74,73,70,66,70,64,71,84,63,61,72,64,58,68,57,60,64,66,64,13,5,11,13,15,4,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
LB,France,22,170,62,Left,3,2,1,High,Medium,84,31,48,65,51,52,54,31,45,51,25,63,53,30,43,62,82,86,89,47,88,30,53,78,40,26,50,49,45,46,41,42,51,54,51,11,14,13,7,12,7,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
RW,Scotland,32,178,76,Left,3,3,1,High,Medium,77,75,71,76,50,79,74,75,68,69,62,77,79,75,64,76,77,77,78,76,76,78,80,84,76,74,79,50,76,75,69,70,42,56,38,12,16,8,12,7,12,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951
LWB,England,22,183,68,Left,3,2,1,High,Medium,83,46,59,62,56,57,64,45,46,64,31,65,52,31,58,61,84,82,64,61,47,50,77,72,50,47,49,60,53,55,40,55,53,59,55,15,10,11,11,5,11,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951
CAM,Turkey,23,178,70,Right,3,2,1,Medium,Medium,68,62,60,65,29,50,64,60,47,62,60,63,65,47,59,66,69,68,66,62,74,66,61,50,56,62,30,23,60,53,60,59,21,35,27,9,11,11,6,10,1,1.3943831814446,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
GK,India,29,180,75,Right,2,1,1,Medium,Medium,61,59,58,59,39,58,12,6,13,20,6,7,12,13,23,14,31,51,31,56,43,44,68,19,49,9,23,12,8,24,17,28,8,13,11,61,59,58,58,59,3,1.3943831814446,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,China PR,18,185,78,Right,3,2,1,Medium,Medium,55,26,30,37,49,54,26,25,46,33,23,35,22,26,28,33,56,54,45,46,53,35,60,34,68,19,43,44,26,32,33,38,50,51,52,10,14,7,13,11,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
LW,Argentina,32,172,76,Left,2,3,1,High,Low,70,64,66,69,51,56,63,62,47,67,51,70,72,70,68,66,71,69,74,58,70,68,53,51,62,66,48,64,71,61,59,70,37,54,58,11,10,10,9,11,13,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0
CB,Sweden,25,189,78,Right,3,2,1,Medium,Medium,63,43,59,59,68,76,55,37,62,66,34,53,46,38,62,64,55,69,61,67,50,65,71,77,78,40,70,68,36,55,37,70,68,69,66,7,9,8,15,13,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,Brazil,18,186,76,Right,2,2,1,Medium,Medium,72,31,48,66,71,60,31,23,74,69,26,65,26,28,62,68,69,74,70,58,55,50,65,68,51,25,73,68,41,28,44,67,70,73,66,7,9,12,9,8,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CAM,Turkey,35,181,80,Right,3,3,1,Medium,Medium,68,61,64,67,62,59,61,60,60,65,42,66,61,48,65,70,68,68,61,70,71,68,63,33,70,63,62,68,59,71,51,65,56,65,58,10,12,12,8,10,1,1.3943831814446,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CAM,Argentina,25,168,65,Right,2,2,1,Medium,Medium,76,59,66,72,62,72,53,60,47,77,45,69,51,59,68,73,80,72,80,65,87,61,81,81,65,58,75,66,60,66,53,63,63,64,64,9,10,14,14,11,1,1.3943831814446,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
LB,China PR,33,183,75,Right,3,3,1,Medium,Medium,73,52,60,63,57,71,62,53,54,62,48,66,43,46,55,59,74,73,63,51,70,51,57,74,74,51,64,56,57,64,45,60,58,58,59,13,12,13,13,7,7,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
RB,France,21,178,70,Right,2,2,1,Medium,Medium,72,33,43,58,58,56,56,32,51,44,30,62,37,27,35,50,76,69,67,57,70,36,63,53,57,28,57,58,50,38,30,50,58,58,61,13,12,13,7,8,8,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
ST,Netherlands,31,189,85,Right,4,3,1,Medium,Low,55,69,58,63,26,74,59,71,70,55,64,64,57,68,56,64,55,55,64,61,52,76,78,68,81,63,65,22,66,62,62,59,29,13,18,19,17,15,13,14,0,0.04054511360014589,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CM,China PR,29,183,77,Right,2,2,1,Medium,Medium,65,55,52,52,53,65,41,53,47,55,32,46,53,41,51,55,62,68,67,59,72,69,63,73,64,54,57,58,56,59,43,38,56,51,47,12,13,7,6,14,5,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,Norway,22,190,80,Right,3,2,1,Medium,Medium,59,34,43,52,58,68,34,29,58,56,36,46,29,30,48,56,58,60,67,56,60,52,73,62,71,28,67,59,30,33,37,49,56,60,58,12,9,6,12,8,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CAM,Spain,20,177,73,Right,3,3,1,Medium,High,67,64,68,65,52,55,61,63,44,73,45,64,61,59,71,65,74,62,69,61,68,69,56,66,51,66,53,55,62,67,58,65,52,56,38,6,6,13,6,13,1,1.3943831814446,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
